Epoch,Time_s,Train_Loss,Val_InDist_RMSE,Val_OOD_RMSE,Bicubic_InDist,Bicubic_OOD
1,4221.2,0.038442,0.0697,0.1002,0.0734,0.1032
2,4636.8,0.037994,0.0656,0.0971,0.0734,0.1032
3,2487.1,0.037405,0.062,0.0948,0.0734,0.1032
4,2534.9,0.036519,0.0588,0.0931,0.0734,0.1032
5,2517.3,0.036209,0.0557,0.0917,0.0734,0.1032
6,2563.9,0.035992,0.0528,0.0909,0.0734,0.1032
7,17,0.036428,0.0506,0.0905,0.0734,0.1032
8,13.3,0.036037,0.0489,0.0905,0.0734,0.1032
9,11.8,0.036202,0.0478,0.0906,0.0734,0.1032
10,13.4,0.036309,0.0475,0.0907,0.0734,0.1032
11,14.3,0.036664,0.0473,0.0908,0.0734,0.1032
12,11.2,0.035835,0.0468,0.0911,0.0734,0.1032
13,12.3,0.035713,0.0462,0.0914,0.0734,0.1032
14,10.2,0.035456,0.0458,0.0918,0.0734,0.1032
15,12.1,0.034735,0.0455,0.0921,0.0734,0.1032
16,11.5,0.034880,0.0453,0.0927,0.0734,0.1032
17,12.2,0.035203,0.0452,0.0931,0.0734,0.1032
18,11.9,0.034551,0.0450,0.0932,0.0734,0.1032
19,11.8,0.034404,0.0449,0.0932,0.0734,0.1032
20,12.4,0.034476,0.0446,0.0928,0.0734,0.1032
21,10.8,0.034624,0.0445,0.0927,0.0734,0.1032
22,12.4,0.033847,0.0442,0.0924,0.0734,0.1032
23,10.5,0.033891,0.0440,0.0919,0.0734,0.1032
24,12.0,0.033871,0.0439,0.0917,0.0734,0.1032
25,12.2,0.033577,0.0436,0.0912,0.0734,0.1032
26,10.8,0.033670,0.0434,0.0907,0.0734,0.1032
27,12.1,0.033818,0.0433,0.0904,0.0734,0.1032
28,10.7,0.033768,0.0432,0.0902,0.0734,0.1032
29,12.2,0.033917,0.0432,0.0902,0.0734,0.1032
30,11.8,0.033950,0.0432,0.0902,0.0734,0.1032
31,12.1,0.033741,0.0432,0.0902,0.0734,0.1032
32,12.3,0.033841,0.0432,0.0901,0.0734,0.1032
33,10.7,0.033112,0.0431,0.0901,0.0734,0.1032
34,12.0,0.033531,0.0431,0.0899,0.0734,0.1032
35,10.8,0.033830,0.0430,0.0899,0.0734,0.1032
36,12.1,0.033506,0.0429,0.0899,0.0734,0.1032
37,11.5,0.033359,0.0430,0.0900,0.0734,0.1032
38,12.4,0.033725,0.0428,0.0897,0.0734,0.1032
39,12.0,0.033729,0.0426,0.0894,0.0734,0.1032
40,10.6,0.033254,0.0426,0.0893,0.0734,0.1032
41,12.4,0.033001,0.0425,0.0892,0.0734,0.1032
42,11.0,0.033275,0.0424,0.0889,0.0734,0.1032
43,12.1,0.033510,0.0424,0.0890,0.0734,0.1032
44,11.9,0.033557,0.0423,0.0890,0.0734,0.1032
45,11.8,0.032925,0.0422,0.0888,0.0734,0.1032
46,12.2,0.033193,0.0422,0.0889,0.0734,0.1032
47,10.5,0.032885,0.0422,0.0887,0.0734,0.1032
48,12.7,0.032899,0.0422,0.0887,0.0734,0.1032
49,11.0,0.032940,0.0422,0.0887,0.0734,0.1032
50,12.2,0.032872,0.0422,0.0887,0.0734,0.1032
