Epoch,Time_s,Train_Loss,Val_InDist_RMSE,Val_OOD_RMSE,Bicubic_InDist,Bicubic_OOD
1,32.3,0.357247,0.0712,0.1014,0.0734,0.1032
2,19.0,0.362253,0.0688,0.0996,0.0734,0.1032
3,19.8,0.356627,0.0667,0.0980,0.0734,0.1032
4,20.5,0.353335,0.0648,0.0966,0.0734,0.1032
5,20.9,0.345016,0.0630,0.0954,0.0734,0.1032
6,20.8,0.342035,0.0612,0.0944,0.0734,0.1032
7,20.5,0.333881,0.0597,0.0936,0.0734,0.1032
8,20.4,0.337884,0.0582,0.0929,0.0734,0.1032
9,20.4,0.333986,0.0566,0.0921,0.0734,0.1032
10,20.5,0.330972,0.0550,0.0916,0.0734,0.1032
11,20.1,0.328670,0.0536,0.0912,0.0734,0.1032
12,20.0,0.324577,0.0524,0.0909,0.0734,0.1032
13,20.0,0.327424,0.0511,0.0907,0.0734,0.1032
14,20.0,0.326112,0.0499,0.0907,0.0734,0.1032
15,19.9,0.322196,0.0489,0.0907,0.0734,0.1032
16,19.8,0.320992,0.0480,0.0908,0.0734,0.1032
17,19.7,0.320708,0.0473,0.0908,0.0734,0.1032
18,19.7,0.321670,0.0467,0.0909,0.0734,0.1032
19,19.7,0.318953,0.0464,0.0910,0.0734,0.1032
20,19.9,0.317511,0.0461,0.0909,0.0734,0.1032
21,19.6,0.318403,0.0459,0.0912,0.0734,0.1032
22,19.9,0.316299,0.0456,0.0912,0.0734,0.1032
23,19.8,0.314497,0.0454,0.0910,0.0734,0.1032
24,19.7,0.313901,0.0453,0.0912,0.0734,0.1032
25,19.8,0.315190,0.0452,0.0907,0.0734,0.1032
26,19.9,0.314961,0.0451,0.0908,0.0734,0.1032
27,19.9,0.310393,0.0450,0.0903,0.0734,0.1032
28,20.0,0.312113,0.0449,0.0901,0.0734,0.1032
29,20.1,0.311738,0.0447,0.0903,0.0734,0.1032
30,19.7,0.312401,0.0446,0.0902,0.0734,0.1032
31,19.6,0.307222,0.0446,0.0905,0.0734,0.1032
32,19.7,0.309964,0.0444,0.0899,0.0734,0.1032
33,19.7,0.309066,0.0442,0.0895,0.0734,0.1032
34,20.1,0.308970,0.0443,0.0891,0.0734,0.1032
35,20.0,0.309778,0.0442,0.0891,0.0734,0.1032
36,19.7,0.308270,0.0441,0.0892,0.0734,0.1032
37,19.6,0.309058,0.0443,0.0888,0.0734,0.1032
38,20.0,0.304572,0.0443,0.0887,0.0734,0.1032
39,19.8,0.305704,0.0441,0.0887,0.0734,0.1032
40,20.0,0.308104,0.0440,0.0887,0.0734,0.1032
41,19.8,0.307666,0.0440,0.0886,0.0734,0.1032
42,19.5,0.309834,0.0441,0.0885,0.0734,0.1032
43,20.8,0.309326,0.0439,0.0886,0.0734,0.1032
44,19.6,0.307315,0.0439,0.0885,0.0734,0.1032
45,19.5,0.305461,0.0438,0.0885,0.0734,0.1032
46,19.7,0.306370,0.0439,0.0884,0.0734,0.1032
47,19.4,0.307678,0.0440,0.0884,0.0734,0.1032
48,20.0,0.304575,0.0440,0.0884,0.0734,0.1032
49,19.7,0.306024,0.0438,0.0884,0.0734,0.1032
50,19.7,0.304049,0.0437,0.0885,0.0734,0.1032
51,19.7,0.305152,0.0436,0.0887,0.0734,0.1032
52,19.5,0.303862,0.0436,0.0886,0.0734,0.1032
53,20.2,0.304415,0.0437,0.0884,0.0734,0.1032
